id,"overall score( very bad, bad, ok, good, very good)",identified category,followed subcategories,violated subcategories
lulsfi0,okay,"10, 11","10.1.c, 10.1.b","10.1.d, 11.4"
2TxZMsD,good,10,10.1,10.3
rL5UToj,good,"11,12",11.4,"11.1, 12.2"
Ly9dqUp,ok,10,"10.1, 10.5",3.1
zwRkvqX,good,,,
Nf7eXj3,good,"10,11,12","10.1, 11.3, 12.1","11.4, 11.6, 10.6"
Fj3La2P,bad,"2,10","2.7, 2.3","10.2, 3.6, 11.3, 10.1"
EmygeHl,okay,"10,3","10.1, 10.3, 3.7",10.4
ry6HhVN,good ,10,10.3,10.5
ATmn6O1,bad,11,11.2,11.1
GgCjYi3,good,"10,11","10.1, 10.5, 11.3, 11.8","11.1, 11.4"
bpygFJk,good,5,5.2,5.3
8E7z2zv,good,10,10.1,10.1
9JPaLFA,okay,10,10.1,10.1
sQpUh5u,good,8,8.3.b,8.3.c
P6KbjWo,very good,5,5.4,5.1
efcAzKB,ok,9,"9.4, 9.1",9.3
4BFa6km,okay,10,"10.1, 10.10","10.5, 10.8"
KkdeLKR,good,8,8.3,
jEKdtIB,good,10,10.1,10.4
2bdi5Ol,good,2,2.1,2.3
GwO8NfG,good,3,3.2,3.1
ExUzrhI,ok,4,4.5,4.6
hmRTT5H,ok,10,10.1,most of 10
cHGMwFQ,good ,8,8.1,8.3.b
VHJMfwD,bad,9,9.2,most of 9
Tb5kgVb,ok,2,2.5,2.1
ybKh14B,good,2,2.1,2.5
lyNhiwL,good,2,2.5,2.1
u5TEEnN,very bad,2,2.1,most of 2
V67xPAu,very bad,2,2.5,2.1
zzUqFPJ,very bad,4,4.1,"4.4, 4.5"
Km9Mf8E,very bad,5,5.4,5.1
1YVK3tc,ok,6,6.2,6.2
K1oXXm5,ok,4,4.2,4.5
SYJIVs0,bad,7,7.1,"7.2, some parts of 7.3"
twHQk0g,very bad,3,none,"3.1, 3.5"
JJD7FwQ,good,11,11.1,11.3
yrC8jJZ,very good,12,"12.1, 12.2",none
qLLtcO4,good,5,"5.4, 5.3",5.1
vSFeH6a,good,10,most of 10,"10.1, 10.5"
Hr00pI1,good,2,"2.3, 2.4",2.1
DJc2uOd,good,3,"3.1, 3.2",3.3
IAqA3CZ,very good,4,4.1,4.3
vBnS5iA,ok,2,2.3,2.5
GOwX4qB,good,4,4.1,4.4
dY2kSou,very good,1,"1.2, 1.3",1.4
VZwgCDu,bad,4,4.1,4.5
aGAAgVq,good,3,3.4,3.3
wESCTRj,bad,2,2.1,"2.2, 2.5"
0FMBnwN,ok,2,2.1,2.3
i0c1RFz,bad,3,3.5,3.6
nO0RO7c,good,1,1.3,1.2
vnznQbR,good,3,3.1,3.4
xkMDPvR,good,4,4.2,4.4
M4QvxLR,good,3,3.2,3.3
09bBkhP,bad,5,5.2,5.4
4f3w4li,bad ,10,10.1,10.2
1aBgrHV,good,4,4.3,4.5
qANwga1,bad,2,2.3,2.1
AShyWJg,very bad,4,none,most of 4
4l20WrY,bad,"1, 2",most of 1,most of 2
qBJowYK,ok,3,"3.2, 3.4","3.1, 3.3"
5kx3ba6,bad,2,2.5,most of 2
EI2XSsA,good,5,5.1,5.4
6hx2YbK,good,2,2.3,2.4
WKWLyqV,good,1,most of 1,1.1
kTsaxCJ,ok,3,3.3,3.1
2Phyg03,good,5,"5.1, 5.2",5.4
UuGlb1T,very bad,"3, 4",3.1,"most of 3, 4.1"
IUYZ2tH,bad,10,10.3,most of 10.1
IPNctDS,good,11,11.1,most of 11
EPpaO1E,bad,12,12.1,12.5
h5fGzTI,ok,7,7.2,7.1
pKvCkGg,good,8,8.2,8.1
bpcULp9,good,6,6.1.d,some of 6.2
cEFR8NE,good,2,"2.1, 2.3",2.4
M9HrWdI,good,"3,4","3.1, 4.1",4.3
Kw4PvVX,bad,"2,3",2.1,3.2
WrL8Wcy,good,4,4.1,4.4
xHQQv9k,bad,"2,3",2.3,most of 3
nClxnMg,bad,1,1.3,1.2
VBrsChN,good,2,2.1,2.5
UGi7zQF,bad,"2,4",most of 2,most of 4
3aqNmCx,good,3,3.1,3.3
YEb4lH7,ok,4,4.2,4.3
DSDdNLm,bad ,"2, 4",most of 2,most of 4
dPK92qW,good,8,8.1,8.3
g3YBx1n,very bad,2,most of 2,most of 2
yW6WXTU,good,4,4.2,4.5
mfi8wDB,bad,"1,4",most of 1,"1.1, most of 4"
DMTeX8s,ok,2,2.1,2.4
bcEnQGw,very bad,"3, 4",4.4,most of 3
TYGXFkZ,bad,5,5.1,most of 5
Og9h3C1,bad,1,1.5,1.1
z4xePOa,ok,4,4.3,4.4
FvPIaX0,very bad,"4, 5",most of 5,"most of 4, 5.3"
bgukbDK,good,"6,7","7, 6.1",6.2
nt1YN7O,good,2,2.1,2.5
zU2dokJ,ok,3,3.4,3.1
2nlCcmu,very good,10,most of 10,10.11
9W0iexr,good,9,"9.1, 9.8","9.2, 9.3"
YkZ6uIx,good,"2,3","2.1, 3.3",2.4
PJ3vs2N,okay,"4,11","4.4, 11.3",11.4
OeXYu3F,okay,8,8.1,8.1
fd0QVDg,good,7,"7.2,7.3",7.5
iojsSPs,good,"5, 12",5.1,12.2
REEkT8b,good,"10,11","10.3, 11.1",10.5
4hRlgyb,ok,5,5.1,5.2
oGvKL5W,bad,5,5.2,5.3
JUHW8eC,good,3,,
NZePZdp,good,"6,12",most of 6,12.2
fwalRhK,ok,5,5.2,5.3
R8PRW4m,good,10,10.5,10.8
HSJi4eb,good,7,most of 7,
kXxkoAj,ok,9,"9.1, 9.2",9.8
49ZsIT0,very bad ,5,5.2,most of 5
ui65DV0,ok,5,most of 5,5.1
kW0OsSS,very good,4,most of 4,"4.4, 4.5"
Sd707gV,bad,"3,4",some of 3,"rest of 3, most of "
JYKAgJj,very bad,4,none,most of 4
L6mKGcG,good,4,4.1,4.2
9PvLhcV,ok,4,4.2,"4.5, 4.6"
tnm8g4a,very good,10,most of 10,none
whQhKxi,very good,10,"10.5, 10.7",none
v11l4OB,good,10,10.5,
5oXbX3c,good,10,10.5,10.5
AkCujB6,very good,10,most of 10,none
My7LAKo,ok,9,9.1,9.4
9Iny5yg,ok,4,4.1,"4.6, 4.7"
hh8My6E,good,10,"10.2, 10.3",10.5
oMqra7E,ok,5,5.3,5.4
bRIujGr,bad,10,"10.3, 10.6","10.2, 10.5"
dCS2Bsz,ok,9,9.2,none
lUm5KRX,good,"5,7","7.2, 5.3",5.1
pHkyIEj,good,5,5.2,5.2
M3NKeU0,bad,"1,4","1.1,1.4",4.6
DqOywni,bad,"4,6","4.2,4.3",4.6
oRQx8H5,very good,5,"5.1,5.2",
WkZlz35,bad,2,2.6,2.1.C
QkB1WMS,bad,5,5.2,"5.1,5.2"
F5VYO7T,good,1,"1.1,1.4",
fR3HNTm,bad,10,10.4,"10.2,10.4"
s3JFhkn,good,4,4.5,
H7smj93,very bad,1,,"1.1,1.4"
P41bBlm,good,1,1.1,
wNBG8Gp,ok,5,,5.2
Mzd1BGr,ok,"2,5",2.6,5.2
hjZP22N,good,5,5.2,
cr76tIf,very good,2,"2.1,2.6",
CY5FzHn,very good,1,"1.1,1.3",
sKoZymY,ok,2,2.1,2.1
9ojnMMH,good,3,3.13,
brVov5R,very bad,"1,10",10.2,"1.1,1.4"
Ilgqjvd,bad,1,1.1,1.1
kFQ2UX0,good,2,2.3,
mn4F0xm,bad,1,,1.1
7VgyHCq,ok,"1,2",2.6,1.1
lih8Bud,good,2,"2.1,2.5",2.3
Tioq77q,good,2,"2.4,2.1,2.5",
zMOTq4U,very good,2,"2.1.d,2.1,2.2,2.5",
ueeBhx1,ok,10,10.2,10.5
b0NNQoa,good,11,"11.11,11.3",
BamqXJo,ok,3,,"3.10,3.11"
mtQLOGN,good,2,"2.1,2.2",
dowrg0y,bad,1,"1.1,1.2","1.1,1.4"
Bcmcw6i,ok,2,2.3,2.4
LeIcv2Y,good,4,"4.1,4,4",4.8
BPhweN9,ok,4,4.3,4.3
yd4tqPc,bad,1,,"1.1,1.4"
Sq3nXBV,good,2,"2.4,2.2",2.3
MQHhXZY,good,2,2.1,
IS3SDoB,very good,5,"5.1,5.2",
4DxpUcy,good,2,"2.1,2.5",
MWBWmYn,bad,10,,"10.1.2,10.1.2,10.5,10.6"
3Qee1K9,very bad,4,,"4.1,4.3,4.6"
4k1Tl1q,ok,2,2.3,2.4
tyzMFVY,good,8,"8.1.a,8.1.b",
J7VHVC0,good,1,"1.1,1.3,1.4",
FsTuZwG,good,3,3.7,
998xJ74,very good,4,"4.1,4.3,4.6",
kgekZ1A,ok,2,"2.1,2.3",
0TePkC1,ok,"11,2",11.2.a,2.4
CInujeL,very bad,"3,4",,"3.5,3.7,4.3"
29XiwYT,good,2,2.1,
p4dld0u,good,2,2.1,
QWE8USn,good,"1,2","1.1,2.1",
yCTA8Be,good,2,"2.1,2.3",
OVmROa2,bad,1,,1.1
r2CWKoi,good,2,"2.1,2.3,2.5",
8k7z1Mq,very good,2,2.1,
WlIBru8,ok,2,2.1,
pY1cMu3,good,"1,2","2.3,2.1",2.2
ga4VqX9,good,2,"2.1,2.6",
vbAvZzL,good,2,2.3,
NfIQEzH,ok,"1,2","2.1,1.1,1.2,1.3,1.4",2.2
uHhbXLS,ok,"1,2,4","2.1,4.1,4.2,4.4,4.5,4.8",1.1
Bvp9fUK,very bad,6,,6.2
v58K4M6,good,10,"10.1,10.4",
oQELvU5,bad,10,,10.1
c1VfpQq,good,10,10.2,
mdCXcqd,good,2,"2.12,6",
w4ZZpFx,good,10,"10.2,10.2",
paK0utm,ok,"1,2",2.1,1.1
tw66zRi,good,"1,2","2.1,2.2,2.3",1.1
DBG9iPt,good,6,6.2,
5Bg755G,very good,2,"2.1,2.2,2.3,2.5",
8tPVljY,very bad,"1,10",10.2,"1.1,1.4"
4BNzdK5,ok,2,2.1,2.5
cYovhTA,good,4,"4.1,4.2,4.3,4.4",
feaLwAe,very good,4,4.6,
zHkTtNj,good,2,"2.1,2.4",
J57UNKJ,bad,1,,"1.1,1.4"
QCCkWGA,good,6,6.2,
coYqAQp,bad,5,,5.3
2PrZSDt,ok,2,2.1,2.3
QALGSx0,ok,2,2.2,2.1
ShWAooi,good,4,"4.1,4.4,4.6",
MdB5rRc,ok,6,,6.1
ivqSurZ,ok,6,6.2,6.2
f75rkV7,ok,1,,"1.1,1.4"
ohkJE54,very good,4,4.6,
MVy2ZeJ,ok,4,"4.1,4.2",
qyjG67l,good,"1,2","1.4,2.1",
ftnUmmt,ok,10,10.1,
X4gMUlU,bad,"2,10",2.1,10.2
sg0biaz,very bad,10,,"10.1,10.5,10.6"
opSAAue,ok,10,10.3,10.1
sMAv3B1,good,1,"1.1,1.4",
BaR2Oa1,bad,10,,"10.1,10.3"
NMoHUvF,bad,1,,"1.1,1.4"
gPObPIp,good,2,"2.1,2.6",
ankfvn5z,ok,1,1.1,
0KTQc3J,ok,3,"3.5,3.6,3.9",
XevfNr5,ok,1,"1.1,1.2,1.4",
UI1uflj,good,5,"5.1,5.2",
Z5TgSdi,good,2,"2.1,2.3",
0h1KzOq,ok,2,2.1,2.6
zvy65zQ,ok,5,5.2,
6uxEmxw,good,2,"2.1,2.3",
